Variable,Protein,Protein_meaning,Protein_panel
mcam,MCAM,Cell surface glycoprotein MUC18,Cardiometabolic
mcee,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial",Neurology_II
mcemp1,MCEMP1,Mast cell-expressed membrane protein 1,Inflammation_II
mcfd2,MCFD2,Multiple coagulation factor deficiency protein 2,Cardiometabolic
mcts1,MCTS1,Malignant T-cell-amplified sequence 1,Oncology_II
mdga1,MDGA1,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,Neurology
mdh1,MDH1,"Malate dehydrogenase, cytoplasmic",Inflammation_II
mdk,MDK,Midkine,Oncology
mdm1,MDM1,Nuclear protein MDM1,Neurology_II
mecr,MECR,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial",Cardiometabolic_II
med18,MED18,Mediator of RNA polymerase II transcription subunit 18,Oncology
med21,MED21,Mediator of RNA polymerase II transcription subunit 21,Cardiometabolic_II
megf10,MEGF10,Multiple epidermal growth factor-like domains protein 10,Inflammation
megf11,MEGF11,Multiple epidermal growth factor-like domains protein 11,Cardiometabolic_II
megf9,MEGF9,Multiple epidermal growth factor-like domains protein 9,Cardiometabolic
meltf,MELTF,Melanotransferrin,Cardiometabolic_II
ment,MENT,Protein MENT,Inflammation_II
mep1a,MEP1A,Meprin A subunit alpha,Oncology_II
mep1b,MEP1B,Meprin A subunit beta,Cardiometabolic
mepe,MEPE,Matrix extracellular phosphoglycoprotein,Inflammation
mertk,MERTK,Tyrosine-protein kinase Mer,Inflammation
mesd,MESD,LRP chaperone MESD,Neurology
met,MET,Hepatocyte growth factor receptor,Cardiometabolic
metap1,METAP1,Methionine aminopeptidase 1,Neurology
metap1d,METAP1D,"Methionine aminopeptidase 1D, mitochondrial",Inflammation
metap2,METAP2,Methionine aminopeptidase 2,Oncology
mfap3,MFAP3,Microfibril-associated glycoprotein 3,Cardiometabolic
mfap3l,MFAP3L,Microfibrillar-associated protein 3-like,Neurology_II
mfap4,MFAP4,Microfibril-associated glycoprotein 4,Inflammation_II
mfap5,MFAP5,Microfibrillar-associated protein 5,Cardiometabolic
mfge8,MFGE8,Lactadherin,Neurology
mgll,MGLL,Monoglyceride lipase,Inflammation
mgmt,MGMT,Methylated-DNA--protein-cysteine methyltransferase,Inflammation
mia,MIA,Melanoma-derived growth regulatory protein,Oncology
micall2,MICALL2,MICAL-like protein 2,Neurology_II
micb_mica,MICB_MICA,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B,Inflammation
mif,MIF,Macrophage migration inhibitory factor,Neurology
milr1,MILR1,Allergin-1,Inflammation
mindy1,MINDY1,Ubiquitin carboxyl-terminal hydrolase MINDY-1,Oncology_II
mink1,MINK1,Misshapen-like kinase 1,Neurology_II
mitd1,MITD1,MIT domain-containing protein 1,Neurology
mki67,MKI67,Proliferation marker protein Ki-67,Inflammation_II
mllt1,MLLT1,Protein ENL,Oncology_II
mln,MLN,Promotilin,Inflammation
mme,MME,Neprilysin,Oncology
mmp1,MMP1,Interstitial collagenase,Inflammation
mmp10,MMP10,Stromelysin-2,Inflammation
mmp12,MMP12,Macrophage metalloelastase,Oncology
mmp13,MMP13,Collagenase 3,Neurology
mmp15,MMP15,Matrix metalloproteinase-15,Cardiometabolic_II
mmp3,MMP3,Stromelysin-1,Neurology
mmp7,MMP7,Matrilysin,Cardiometabolic
mmp8,MMP8,Neutrophil collagenase,Neurology
mmp9,MMP9,Matrix metalloproteinase-9,Neurology
mmut,MMUT,"Methylmalonyl-CoA mutase, mitochondrial",Cardiometabolic_II
mn1,MN1,Transcriptional activator MN1,Neurology_II
mnat1,MNAT1,CDK-activating kinase assembly factor MAT1,Oncology_II
mnda,MNDA,Myeloid cell nuclear differentiation antigen,Cardiometabolic
mocs2,MOCS2,Molybdopterin synthase catalytic subunit,Inflammation_II
mog,MOG,Myelin-oligodendrocyte glycoprotein,Oncology
morc3,MORC3,MORC family CW-type zinc finger protein 3,Neurology_II
morf4l1,MORF4L1,Mortality factor 4-like protein 1,Oncology_II
morf4l2,MORF4L2,Mortality factor 4-like protein 2,Oncology_II
morn4,MORN4,MORN repeat-containing protein 4,Oncology_II
mphosph8,MPHOSPH8,M-phase phosphoprotein 8,Cardiometabolic
mpi,MPI,Mannose-6-phosphate isomerase,Oncology
mpig6b,MPIG6B,Megakaryocyte and platelet inhibitory receptor G6b,Inflammation
mpo,MPO,Myeloperoxidase,Neurology
mprip,MPRIP,Myosin phosphatase Rho-interacting protein,Oncology_II
mrc1,MRC1,Macrophage mannose receptor 1,Inflammation_II
mri1,MRI1,Methylthioribose-1-phosphate isomerase,Neurology_II
mrpl24,MRPL24,"39S ribosomal protein L24, mitochondrial",Cardiometabolic_II
mrpl28,MRPL28,"39S ribosomal protein L28, mitochondrial",Neurology_II
mrpl46,MRPL46,"39S ribosomal protein L46, mitochondrial",Neurology
mrpl52,MRPL52,"39S ribosomal protein L52, mitochondrial",Oncology_II
mrpl58,MRPL58,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",Neurology_II
mrps16,MRPS16,"28S ribosomal protein S16, mitochondrial",Inflammation_II
msln,MSLN,Mesothelin,Oncology
mslnl,MSLNL,Mesothelin-like protein,Neurology_II
msmb,MSMB,Beta-microseminoprotein,Cardiometabolic
msr1,MSR1,Macrophage scavenger receptor types I and II,Neurology
msra,MSRA,Mitochondrial peptide methionine sulfoxide reductase,Oncology
mst1,MST1,Hepatocyte growth factor-like protein,Inflammation_II
mstn,MSTN,Growth/differentiation factor 8,Cardiometabolic
mtdh,MTDH,Protein LYRIC,Inflammation_II
mthfd2,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Neurology_II
mthfsd,MTHFSD,Methenyltetrahydrofolate synthase domain-containing protein,Oncology_II
mtif3,MTIF3,"Translation initiation factor IF-3, mitochondrial",Oncology_II
mtpn,MTPN,Myotrophin,Cardiometabolic
mtr,MTR,Methionine synthase,Cardiometabolic_II
mtss1,MTSS1,Protein MTSS 1,Oncology_II
mtss2,MTSS2,Protein MTSS 2,Oncology_II
mtus1,MTUS1,Microtubule-associated tumor suppressor 1,Oncology_II
muc13,MUC13,Mucin-13,Neurology
muc16,MUC16,Mucin-16,Oncology
muc2,MUC2,Mucin-2,Cardiometabolic_II
mucl3,MUCL3,Mucin-like protein 3,Oncology_II
mvk,MVK,Mevalonate kinase,Inflammation
mxra8,MXRA8,Matrix remodeling-associated protein 8,Inflammation_II
mybpc1,MYBPC1,"Myosin-binding protein C, slow-type",Cardiometabolic_II
mybpc2,MYBPC2,"Myosin-binding protein C, fast-type",Cardiometabolic_II
mycbp2,MYCBP2,E3 ubiquitin-protein ligase MYCBP2,Neurology_II
mydgf,MYDGF,Myeloid-derived growth factor,Cardiometabolic_II
myh4,MYH4,Myosin-4,Cardiometabolic_II
myh7b,MYH7B,Myosin-7B,Oncology_II
myh9,MYH9,Myosin-9,Cardiometabolic_II
myl1,MYL1,"Myosin light chain 1/3, skeletal muscle isoform",Cardiometabolic_II
myl3,MYL3,Myosin light chain 3,Cardiometabolic_II
myl4,MYL4,Myosin light chain 4,Cardiometabolic_II
myl6b,MYL6B,Myosin light chain 6B,Neurology_II
mylpf,MYLPF,"Myosin regulatory light chain 2, skeletal muscle isoform",Neurology_II
myo6,MYO6,Unconventional myosin-VI,Neurology_II
myo9b,MYO9B,Unconventional myosin-IXb,Inflammation
myoc,MYOC,Myocilin,Neurology
myom1,MYOM1,Myomesin-1,Neurology_II
myom2,MYOM2,Myomesin-2,Cardiometabolic_II
myom3,MYOM3,Myomesin-3,Inflammation_II
mzb1,MZB1,Marginal zone B- and B1-cell-specific protein,Inflammation
mzt1,MZT1,Mitotic-spindle organizing protein 1,Oncology
naa10,NAA10,N-alpha-acetyltransferase 10,Cardiometabolic_II
naa80,NAA80,N-alpha-acetyltransferase 80,Neurology_II
naaa,NAAA,N-acylethanolamine-hydrolyzing acid amidase,Neurology
nacc1,NACC1,Nucleus accumbens-associated protein 1,Oncology_II
nadk,NADK,NAD kinase,Cardiometabolic
naga,NAGA,Alpha-N-acetylgalactosaminidase,Inflammation_II
nagk,NAGK,N-acetyl-D-glucosamine kinase,Cardiometabolic_II
nagpa,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Inflammation_II
nampt,NAMPT,Nicotinamide phosphoribosyltransferase,Oncology
nap1l4,NAP1L4,Nucleosome assembly protein 1-like 4,Oncology_II
naprt,NAPRT,Nicotinate phosphoribosyltransferase,Neurology_II
nars1,NARS1,"Asparagine--tRNA ligase, cytoplasmic",Neurology_II
nbl1,NBL1,Neuroblastoma suppressor of tumorigenicity 1,Oncology
nbn,NBN,Nibrin,Inflammation
ncam1,NCAM1,Neural cell adhesion molecule 1,Cardiometabolic
ncam2,NCAM2,Neural cell adhesion molecule 2,Neurology
ncan,NCAN,Neurocan core protein,Neurology
ncf2,NCF2,Neutrophil cytosol factor 2,Inflammation
nck2,NCK2,Cytoplasmic protein NCK2,Inflammation
ncln,NCLN,Nicalin,Inflammation
ncr1,NCR1,Natural cytotoxicity triggering receptor 1,Inflammation
ncr3lg1,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,Oncology_II
ncs1,NCS1,Neuronal calcium sensor 1,Oncology
ndrg1,NDRG1,Protein NDRG1,Neurology
ndst1,NDST1,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,Oncology_II
ndufa5,NDUFA5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,Inflammation_II
ndufb7,NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,Oncology_II
ndufs6,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",Oncology
neb,NEB,Nebulin,Cardiometabolic_II
necap2,NECAP2,Adaptin ear-binding coat-associated protein 2,Cardiometabolic_II
nectin1,NECTIN1,Nectin-1,Inflammation_II
nectin2,NECTIN2,Nectin-2,Cardiometabolic
nectin4,NECTIN4,Nectin-4,Oncology
nedd4l,NEDD4L,E3 ubiquitin-protein ligase NEDD4-like,Inflammation_II
nedd9,NEDD9,Enhancer of filamentation 1,Inflammation_II
nefl,NEFL,Neurofilament light polypeptide,Neurology
nek7,NEK7,Serine/threonine-protein kinase Nek7,Oncology_II
nell1,NELL1,Protein kinase C-binding protein NELL1,Oncology
nell2,NELL2,Protein kinase C-binding protein NELL2,Inflammation
nenf,NENF,Neudesin,Oncology_II
neo1,NEO1,Neogenin,Neurology_II
nexn,NEXN,Nexilin,Inflammation_II
nfasc,NFASC,Neurofascin,Inflammation
nfat5,NFAT5,Nuclear factor of activated T-cells 5,Inflammation_II
nfatc1,NFATC1,"Nuclear factor of activated T-cells, cytoplasmic 1",Inflammation
nfatc3,NFATC3,"Nuclear factor of activated T-cells, cytoplasmic 3",Inflammation
nfe2,NFE2,Transcription factor NF-E2 45 kDa subunit,Cardiometabolic_II
nfic,NFIC,Nuclear factor 1 C-type,Neurology_II
nfkb1,NFKB1,Nuclear factor NF-kappa-B p105 subunit,Cardiometabolic_II
nfkb2,NFKB2,Nuclear factor NF-kappa-B p100 subunit,Oncology_II
nfkbie,NFKBIE,NF-kappa-B inhibitor epsilon,Oncology
nfu1,NFU1,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",Oncology_II
nfx1,NFX1,Transcriptional repressor NF-X1,Cardiometabolic_II
nfya,NFYA,Nuclear transcription factor Y subunit alpha,Cardiometabolic_II
ngf,NGF,Beta-nerve growth factor,Neurology
ngfr,NGFR,Tumor necrosis factor receptor superfamily member 16,Cardiometabolic_II
ngrn,NGRN,Neugrin,Neurology_II
nhlrc3,NHLRC3,NHL repeat-containing protein 3,Inflammation_II
nid1,NID1,Nidogen-1,Cardiometabolic
nid2,NID2,Nidogen-2,Neurology
ninj1,NINJ1,Ninjurin-1,Oncology
nit1,NIT1,Deaminated glutathione amidase,Cardiometabolic_II
nit2,NIT2,Omega-amidase NIT2,Cardiometabolic_II
nlgn1,NLGN1,Neuroligin-1,Neurology_II
nlgn2,NLGN2,Neuroligin-2,Neurology_II
nme1,NME1,Nucleoside diphosphate kinase A,Inflammation_II
nme3,NME3,Nucleoside diphosphate kinase 3,Inflammation
nmi,NMI,N-myc-interactor,Oncology_II
nmnat1,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,Neurology
nmrk2,NMRK2,Nicotinamide riboside kinase 2,Oncology_II
nmt1,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,Neurology_II
nomo1,NOMO1,Nodal modulator 1,Neurology
nop56,NOP56,Nucleolar protein 56,Cardiometabolic_II
nos1,NOS1,"Nitric oxide synthase, brain",Neurology
nos2,NOS2,"Nitric oxide synthase, inducible",Cardiometabolic_II
nos3,NOS3,"Nitric oxide synthase, endothelial",Neurology
notch1,NOTCH1,Neurogenic locus notch homolog protein 1,Cardiometabolic
notch2,NOTCH2,Neurogenic locus notch homolog protein 2,Cardiometabolic_II
notch3,NOTCH3,Neurogenic locus notch homolog protein 3,Cardiometabolic
npc2,NPC2,NPC intracellular cholesterol transporter 2,Cardiometabolic_II
npdc1,NPDC1,Neural proliferation differentiation and control protein 1,Cardiometabolic
nphs1,NPHS1,Nephrin,Inflammation_II
nphs2,NPHS2,Podocin,Inflammation_II
npl,NPL,N-acetylneuraminate lyase,Cardiometabolic_II
npm1,NPM1,Nucleophosmin,Neurology
nppb,NPPB,Natriuretic peptides B,Cardiometabolic
nppc,NPPC,C-type natriuretic peptide,Inflammation
npr1,NPR1,Atrial natriuretic peptide receptor 1,Cardiometabolic_II
nptn,NPTN,Neuroplastin,Oncology
nptx1,NPTX1,Neuronal pentraxin-1,Neurology
nptx2,NPTX2,Neuronal pentraxin-2,Cardiometabolic_II
nptxr,NPTXR,Neuronal pentraxin receptor,Cardiometabolic
npy,NPY,Pro-neuropeptide Y,Oncology
nrcam,NRCAM,Neuronal cell adhesion molecule,Cardiometabolic
nrgn,NRGN,Neurogranin,Inflammation_II
nrn1,NRN1,Neuritin,Neurology_II
nrp1,NRP1,Neuropilin-1,Cardiometabolic
nrp2,NRP2,Neuropilin-2,Neurology
nrtn,NRTN,Neurturin,Inflammation
nrxn3,NRXN3,Neurexin-3,Neurology_II
nsfl1c,NSFL1C,NSFL1 cofactor p47,Neurology
nt5c,NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type",Cardiometabolic_II
nt5c1a,NT5C1A,Cytosolic 5'-nucleotidase 1A,Neurology_II
nt5c3a,NT5C3A,Cytosolic 5'-nucleotidase 3A,Inflammation
nt5e,NT5E,5'-nucleotidase,Oncology
ntf3,NTF3,Neurotrophin-3,Inflammation
ntf4,NTF4,Neurotrophin-4,Oncology
ntprobnp,NTproBNP,N-terminal prohormone of brain natriuretic peptide,Cardiometabolic
ntrk2,NTRK2,BDNF/NT-3 growth factors receptor,Cardiometabolic
ntrk3,NTRK3,NT-3 growth factor receptor,Neurology
nub1,NUB1,NEDD8 ultimate buster 1,Inflammation
nubp1,NUBP1,Cytosolic Fe-S cluster assembly factor NUBP1,Oncology_II
nucb2,NUCB2,Nucleobindin-2,Oncology
nudc,NUDC,Nuclear migration protein nudC,Inflammation
nudt10,NUDT10,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha,Cardiometabolic_II
nudt15,NUDT15,Nucleotide triphosphate diphosphatase NUDT15,Cardiometabolic_II
nudt16,NUDT16,U8 snoRNA-decapping enzyme,Oncology_II
nudt2,NUDT2,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],Oncology
nudt5,NUDT5,ADP-sugar pyrophosphatase,Neurology
numb,NUMB,Protein numb homolog,Inflammation_II
nup50,NUP50,Nuclear pore complex protein Nup50,Cardiometabolic_II
nxpe4,NXPE4,NXPE family member 4,Cardiometabolic_II
nxph1,NXPH1,Neurexophilin-1,Neurology
nxph3,NXPH3,Neurexophilin-3,Inflammation_II
obp2b,OBP2B,Odorant-binding protein 2b,Neurology
ocln,OCLN,Occludin,Neurology_II
odam,ODAM,Odontogenic ameloblast-associated protein,Neurology
ofd1,OFD1,Oral-facial-digital syndrome 1 protein,Oncology_II
oga,OGA,Protein O-GlcNAcase,Oncology_II
ogfr,OGFR,Opioid growth factor receptor,Oncology
ogn,OGN,Mimecan,Neurology
ogt,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,Oncology_II
olfm4,OLFM4,Olfactomedin-4,Inflammation_II
olr1,OLR1,Oxidized low-density lipoprotein receptor 1,Cardiometabolic
omd,OMD,Osteomodulin,Inflammation
omg,OMG,Oligodendrocyte-myelin glycoprotein,Oncology
omp,OMP,Olfactory marker protein,Neurology_II
ophn1,OPHN1,Oligophrenin-1,Neurology_II
oplah,OPLAH,5-oxoprolinase,Cardiometabolic_II
optc,OPTC,Opticin,Oncology
orm1,ORM1,Alpha-1-acid glycoprotein 1,Inflammation_II
osbpl2,OSBPL2,Oxysterol-binding protein-related protein 2,Neurology_II
oscar,OSCAR,Osteoclast-associated immunoglobulin-like receptor,Inflammation
osm,OSM,Oncostatin-M,Inflammation
osmr,OSMR,Oncostatin-M-specific receptor subunit beta,Cardiometabolic
ostn,OSTN,Osteocrin,Neurology_II
otoa,OTOA,Otoancorin,Neurology_II
otud6b,OTUD6B,Deubiquitinase OTUD6B,Oncology_II
otud7b,OTUD7B,OTU domain-containing protein 7B,Neurology_II
oxct1,OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",Cardiometabolic_II
oxt,OXT,Oxytocin-neurophysin 1,Neurology
p4hb,P4HB,Protein disulfide-isomerase,Oncology
pacs2,PACS2,Phosphofurin acidic cluster sorting protein 2,Cardiometabolic_II
padi2,PADI2,Protein-arginine deiminase type-2,Inflammation
padi4,PADI4,Protein-arginine deiminase type-4,Neurology
paep,PAEP,Glycodelin,Neurology
pafah1b3,PAFAH1B3,Platelet-activating factor acetylhydrolase IB subunit alpha1,Neurology_II
pafah2,PAFAH2,"Platelet-activating factor acetylhydrolase 2, cytoplasmic",Oncology_II
pag1,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,Cardiometabolic
pagr1,PAGR1,PAXIP1-associated glutamate-rich protein 1,Cardiometabolic_II
paip2b,PAIP2B,Polyadenylate-binding protein-interacting protein 2B,Oncology_II
pak4,PAK4,Serine/threonine-protein kinase PAK 4,Neurology
palld,PALLD,Palladin,Inflammation_II
palm,PALM,Paralemmin-1,Oncology_II
palm2,PALM2,Paralemmin-2,Neurology_II
palm3,PALM3,Paralemmin-3,Cardiometabolic_II
pam,PAM,Peptidyl-glycine alpha-amidating monooxygenase,Cardiometabolic
pamr1,PAMR1,Inactive serine protease PAMR1,Neurology
pappa,PAPPA,Pappalysin-1,Inflammation
pard3,PARD3,Partitioning defective 3 homolog,Oncology_II
park7,PARK7,Parkinson disease protein 7,Neurology
parp1,PARP1,Poly [ADP-ribose] polymerase 1,Inflammation
paxx,PAXX,Protein PAXX,Inflammation_II
pbk,PBK,Lymphokine-activated killer T-cell-originated protein kinase,Oncology_II
pbld,PBLD,Phenazine biosynthesis-like domain-containing protein,Neurology
pbxip1,PBXIP1,Pre-B-cell leukemia transcription factor-interacting protein 1,Oncology_II
pcare,PCARE,Photoreceptor cilium actin regulator,Neurology_II
pcbd1,PCBD1,Pterin-4-alpha-carbinolamine dehydratase,Inflammation_II
pcbp2,PCBP2,Poly(rC)-binding protein 2,Neurology_II
pcdh1,PCDH1,Protocadherin-1,Inflammation
pcdh12,PCDH12,Protocadherin-12,Neurology_II
pcdh17,PCDH17,Protocadherin-17,Cardiometabolic
pcdh7,PCDH7,Protocadherin-7,Oncology_II
pcdh9,PCDH9,Protocadherin-9,Oncology_II
pcdhb15,PCDHB15,Protocadherin beta-15,Oncology_II
pcna,PCNA,Proliferating cell nuclear antigen,Oncology_II
pcolce,PCOLCE,Procollagen C-endopeptidase enhancer 1,Cardiometabolic
pcsk7,PCSK7,Proprotein convertase subtilisin/kexin type 7,Oncology_II
pcsk9,PCSK9,Proprotein convertase subtilisin/kexin type 9,Cardiometabolic
pcyt2,PCYT2,Ethanolamine-phosphate cytidylyltransferase,Oncology_II
pdap1,PDAP1,28 kDa heat- and acid-stable phosphoprotein,Cardiometabolic_II
pdcd1,PDCD1,Programmed cell death protein 1,Oncology
pdcd1lg2,PDCD1LG2,Programmed cell death 1 ligand 2,Oncology
pdcd5,PDCD5,Programmed cell death protein 5,Neurology
pdcd6,PDCD6,Programmed cell death protein 6,Cardiometabolic
pdcl2,PDCL2,Phosducin-like protein 2,Oncology_II
pde1c,PDE1C,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",Oncology_II
pde4d,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Cardiometabolic_II
pde5a,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",Inflammation_II
pdgfa,PDGFA,Platelet-derived growth factor subunit A,Cardiometabolic
pdgfb,PDGFB,Platelet-derived growth factor subunit B,Inflammation
pdgfc,PDGFC,Platelet-derived growth factor C,Oncology
pdgfra,PDGFRA,Platelet-derived growth factor receptor alpha,Cardiometabolic
pdgfrb,PDGFRB,Platelet-derived growth factor receptor beta,Cardiometabolic
pdia2,PDIA2,Protein disulfide-isomerase A2,Oncology_II
pdia3,PDIA3,Protein disulfide-isomerase A3,Inflammation_II
pdia4,PDIA4,Protein disulfide-isomerase A4,Cardiometabolic_II
pdia5,PDIA5,Protein disulfide-isomerase A5,Oncology_II
pdlim5,PDLIM5,PDZ and LIM domain protein 5,Neurology_II
pdlim7,PDLIM7,PDZ and LIM domain protein 7,Inflammation
pdp1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",Oncology
pdrg1,PDRG1,p53 and DNA damage-regulated protein 1,Neurology_II
pdxdc1,PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Oncology_II
pdzd2,PDZD2,PDZ domain-containing protein 2,Cardiometabolic_II
pdzk1,PDZK1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,Inflammation_II
pear1,PEAR1,Platelet endothelial aggregation receptor 1,Cardiometabolic
pebp1,PEBP1,Phosphatidylethanolamine-binding protein 1,Neurology
pecam1,PECAM1,Platelet endothelial cell adhesion molecule,Neurology
pecr,PECR,Peroxisomal trans-2-enoyl-CoA reductase,Cardiometabolic_II
penk,PENK,Proenkephalin-A,Inflammation_II
pepd,PEPD,Xaa-Pro dipeptidase,Inflammation_II
per3,PER3,Period circadian protein homolog 3,Inflammation_II
pf4,PF4,Platelet factor 4,Inflammation_II
pfdn2,PFDN2,Prefoldin subunit 2,Neurology
pfdn4,PFDN4,Prefoldin subunit 4,Oncology_II
pfdn6,PFDN6,Prefoldin subunit 6,Neurology_II
pfkfb2,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",Oncology
pga4,PGA4,Pepsin A-4,Inflammation_II
pgd,PGD,"6-phosphogluconate dehydrogenase, decarboxylating",Cardiometabolic_II
pgf,PGF,Placenta growth factor,Inflammation
pglyrp1,PGLYRP1,Peptidoglycan recognition protein 1,Cardiometabolic
pglyrp2,PGLYRP2,N-acetylmuramoyl-L-alanine amidase,Inflammation_II
pglyrp4,PGLYRP4,Peptidoglycan recognition protein 4,Cardiometabolic_II
pgm2,PGM2,Phosphoglucomutase-2,Neurology_II
pgr,PGR,Progesterone receptor,Inflammation_II
phactr2,PHACTR2,Phosphatase and actin regulator 2,Neurology_II
phldb1,PHLDB1,Pleckstrin homology-like domain family B member 1,Oncology_II
phldb2,PHLDB2,Pleckstrin homology-like domain family B member 2,Oncology_II
phospho1,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase,Neurology
phykpl,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,Inflammation_II
pi16,PI16,Peptidase inhibitor 16,Inflammation_II
pi3,PI3,Elafin,Cardiometabolic
pibf1,PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Neurology_II
pigr,PIGR,Polymeric immunoglobulin receptor,Neurology
pik3ap1,PIK3AP1,Phosphoinositide 3-kinase adapter protein 1,Inflammation
pik3ip1,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,Neurology
pikfyve,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase,Inflammation_II
pilra,PILRA,Paired immunoglobulin-like type 2 receptor alpha,Neurology
pilrb,PILRB,Paired immunoglobulin-like type 2 receptor beta,Cardiometabolic
pinlyp,PINLYP,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,Inflammation_II
pithd1,PITHD1,PITH domain-containing protein 1,Oncology_II
pkd1,PKD1,Polycystin-1,Cardiometabolic_II
pkd2,PKD2,Polycystin-2,Cardiometabolic_II
pklr,PKLR,Pyruvate kinase PKLR,Inflammation
pkn3,PKN3,Serine/threonine-protein kinase N3,Oncology_II
pla2g10,PLA2G10,Group 10 secretory phospholipase A2,Neurology
pla2g15,PLA2G15,Phospholipase A2 group XV,Oncology
pla2g1b,PLA2G1B,Phospholipase A2,Cardiometabolic
pla2g2a,PLA2G2A,"Phospholipase A2, membrane associated",Cardiometabolic
pla2g4a,PLA2G4A,Cytosolic phospholipase A2,Inflammation
pla2g7,PLA2G7,Platelet-activating factor acetylhydrolase,Neurology
plat,PLAT,Tissue-type plasminogen activator,Cardiometabolic
plau,PLAU,Urokinase-type plasminogen activator,Neurology
plaur,PLAUR,Urokinase plasminogen activator surface receptor,Inflammation
plb1,PLB1,"Phospholipase B1, membrane-associated",Neurology_II
plcb1,PLCB1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",Inflammation_II
plcb2,PLCB2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",Neurology_II
plekho1,PLEKHO1,Pleckstrin homology domain-containing family O member 1,Neurology_II
plg,PLG,Plasminogen,Inflammation_II
plin1,PLIN1,Perilipin-1,Neurology
plin3,PLIN3,Perilipin-3,Cardiometabolic
plpbp,PLPBP,Pyridoxal phosphate homeostasis protein,Cardiometabolic
plscr3,PLSCR3,Phospholipid scramblase 3,Neurology_II
pltp,PLTP,Phospholipid transfer protein,Cardiometabolic
plxdc1,PLXDC1,Plexin domain-containing protein 1,Oncology
plxdc2,PLXDC2,Plexin domain-containing protein 2,Neurology_II
plxna4,PLXNA4,Plexin-A4,Inflammation
plxnb2,PLXNB2,Plexin-B2,Cardiometabolic
plxnb3,PLXNB3,Plexin-B3,Cardiometabolic
pm20d1,PM20D1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,Cardiometabolic
pmch,PMCH,Pro-MCH,Cardiometabolic_II
pmm2,PMM2,Phosphomannomutase 2,Cardiometabolic_II
pms1,PMS1,PMS1 protein homolog 1,Neurology_II
pmvk,PMVK,Phosphomevalonate kinase,Neurology
pnlip,PNLIP,Pancreatic triacylglycerol lipase,Inflammation_II
pnliprp1,PNLIPRP1,Inactive pancreatic lipase-related protein 1,Neurology_II
pnliprp2,PNLIPRP2,Pancreatic lipase-related protein 2,Inflammation
pnma1,PNMA1,Paraneoplastic antigen Ma1,Cardiometabolic_II
pnma2,PNMA2,Paraneoplastic antigen Ma2,Neurology_II
pnpt1,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",Inflammation
podxl,PODXL,Podocalyxin,Oncology
podxl2,PODXL2,Podocalyxin-like protein 2,Oncology
pof1b,POF1B,Protein POF1B,Inflammation_II
polr2a,POLR2A,DNA-directed RNA polymerase II subunit RPB1,Inflammation_II
polr2f,POLR2F,"DNA-directed RNA polymerases I, II, and III subunit RPABC2",Oncology
pomc,POMC,Pro-opiomelanocortin,Cardiometabolic_II
