Variable	Protein	Protein_meaning
prkar1a	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit
prkar2a	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit
prkcq	PRKCQ	Protein kinase C theta type
prkd2	PRKD2	Serine/threonine-protein kinase D2
prkg1	PRKG1	cGMP-dependent protein kinase 1
prkra	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A
prl	PRL	Prolactin
prnd	PRND	Prion-like protein doppel
proc	PROC	Vitamin K-dependent protein C
procr	PROCR	Endothelial protein C receptor
prok1	PROK1	Prokineticin-1
pros1	PROS1	Vitamin K-dependent protein S
prr4	PRR4	Proline-rich protein 4
prr5	PRR5	Proline-rich protein 5
prrt3	PRRT3	Proline-rich transmembrane protein 3
prss2	PRSS2	Trypsin-2
prss22	PRSS22	Brain-specific serine protease 4
prss27	PRSS27	Serine protease 27
prss53	PRSS53	Serine protease 53
prss8	PRSS8	Prostasin
prtfdc1	PRTFDC1	Phosphoribosyltransferase domain-containing protein 1
prtg	PRTG	Protogenin
prtn3	PRTN3	Myeloblastin
prune2	PRUNE2	Protein prune homolog 2
psap	PSAP	Prosaposin
psapl1	PSAPL1	Proactivator polypeptide-like 1
psca	PSCA	Prostate stem cell antigen
psg1	PSG1	Pregnancy-specific beta-1-glycoprotein 1
psip1	PSIP1	PC4 and SFRS1-interacting protein
psma1	PSMA1	Proteasome subunit alpha type-1
psmc3	PSMC3	26S proteasome regulatory subunit 6A
psmd1	PSMD1	26S proteasome non-ATPase regulatory subunit 1
psmd5	PSMD5	26S proteasome non-ATPase regulatory subunit 5
psmd9	PSMD9	26S proteasome non-ATPase regulatory subunit 9
psme1	PSME1	Proteasome activator complex subunit 1
psme2	PSME2	Proteasome activator complex subunit 2
psmg3	PSMG3	Proteasome assembly chaperone 3
psmg4	PSMG4	Proteasome assembly chaperone 4
pspn	PSPN	Persephin
psrc1	PSRC1	Proline/serine-rich coiled-coil protein 1
pstpip2	PSTPIP2	Proline-serine-threonine phosphatase-interacting protein 2
pten	PTEN	"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
ptgds	PTGDS	Prostaglandin-H2 D-isomerase
ptges2	PTGES2	Prostaglandin E synthase 2
ptgr1	PTGR1	Prostaglandin reductase 1
pth	PTH	Parathyroid hormone
pth1r	PTH1R	Parathyroid hormone/parathyroid hormone-related peptide receptor
ptk7	PTK7	Inactive tyrosine-protein kinase 7
ptn	PTN	Pleiotrophin
ptp4a3	PTP4A3	Protein tyrosine phosphatase type IVA 3
ptpn1	PTPN1	Tyrosine-protein phosphatase non-receptor type 1
ptpn6	PTPN6	Tyrosine-protein phosphatase non-receptor type 6
ptpn9	PTPN9	Tyrosine-protein phosphatase non-receptor type 9
ptprb	PTPRB	Receptor-type tyrosine-protein phosphatase beta
ptprc	PTPRC	Receptor-type tyrosine-protein phosphatase C
ptprf	PTPRF	Receptor-type tyrosine-protein phosphatase F
ptprh	PTPRH	Receptor-type tyrosine-protein phosphatase H
ptprk	PTPRK	Receptor-type tyrosine-protein phosphatase kappa
ptprm	PTPRM	Receptor-type tyrosine-protein phosphatase mu
ptprn2	PTPRN2	Receptor-type tyrosine-protein phosphatase N2
ptprr	PTPRR	Receptor-type tyrosine-protein phosphatase R
ptprs	PTPRS	Receptor-type tyrosine-protein phosphatase S
ptprz1	PTPRZ1	Receptor-type tyrosine-protein phosphatase zeta
ptrhd1	PTRHD1	Putative peptidyl-tRNA hydrolase PTRHD1
pts	PTS	6-pyruvoyl tetrahydrobiopterin synthase
pttg1	PTTG1	Securin
ptx3	PTX3	Pentraxin-related protein PTX3
pvalb	PVALB	Parvalbumin alpha
pvr	PVR	Poliovirus receptor
pxdnl	PXDNL	Peroxidasin-like protein
pxn	PXN	Paxillin
pydc1	PYDC1	Pyrin domain-containing protein 1
pyy	PYY	Peptide YY
pzp	PZP	Pregnancy zone protein
qdpr	QDPR	Dihydropteridine reductase
qpct	QPCT	Glutaminyl-peptide cyclotransferase
qsox1	QSOX1	Sulfhydryl oxidase 1
rab10	RAB10	Ras-related protein Rab-10
rab11fip3	RAB11FIP3	Rab11 family-interacting protein 3
rab27b	RAB27B	Ras-related protein Rab-27B
rab2b	RAB2B	Ras-related protein Rab-2B
rab33a	RAB33A	Ras-related protein Rab-33A
rab37	RAB37	Ras-related protein Rab-37
rab39b	RAB39B	Ras-related protein Rab-39B
rab3gap1	RAB3GAP1	Rab3 GTPase-activating protein catalytic subunit
rab44	RAB44	Ras-related protein Rab-44
rab6a	RAB6A	Ras-related protein Rab-6A
rab6b	RAB6B	Ras-related protein Rab-6B
rabep1	RABEP1	Rab GTPase-binding effector protein 1
rabepk	RABEPK	Rab9 effector protein with kelch motifs
rabgap1l	RABGAP1L	Rab GTPase-activating protein 1-like
rac3	RAC3	Ras-related C3 botulinum toxin substrate 3
rad23b	RAD23B	UV excision repair protein RAD23 homolog B
rad51	RAD51	DNA repair protein RAD51 homolog 1
ralb	RALB	Ras-related protein Ral-B
raly	RALY	RNA-binding protein Raly
ranbp1	RANBP1	Ran-specific GTPase-activating protein
ranbp2	RANBP2	E3 SUMO-protein ligase RanBP2
rangap1	RANGAP1	Ran GTPase-activating protein 1
rap1a	RAP1A	Ras-related protein Rap-1A
rapgef2	RAPGEF2	Rap guanine nucleotide exchange factor 2
rarres1	RARRES1	Retinoic acid receptor responder protein 1
rarres2	RARRES2	Retinoic acid receptor responder protein 2
rasa1	RASA1	Ras GTPase-activating protein 1
rasgrf1	RASGRF1	Ras-specific guanine nucleotide-releasing factor 1
rassf2	RASSF2	Ras association domain-containing protein 2
rbfox3	RBFOX3	RNA binding protein fox-1 homolog 3
rbks	RBKS	Ribokinase
rbm17	RBM17	Splicing factor 45
rbm19	RBM19	Probable RNA-binding protein 19
rbm25	RBM25	RNA-binding protein 25
rbp1	RBP1	Retinol-binding protein 1
rbp2	RBP2	Retinol-binding protein 2
rbp5	RBP5	Retinol-binding protein 5
rbp7	RBP7	Retinoid-binding protein 7
rbpms	RBPMS	RNA-binding protein with multiple splicing
rbpms2	RBPMS2	RNA-binding protein with multiple splicing 2
rcc1	RCC1	Regulator of chromosome condensation
rcor1	RCOR1	REST corepressor 1
reck	RECK	Reversion-inducing cysteine-rich protein with Kazal motifs
reep4	REEP4	Receptor expression-enhancing protein 4
reg1a	REG1A	Lithostathine-1-alpha
reg1b	REG1B	Lithostathine-1-beta
reg3a	REG3A	Regenerating islet-derived protein 3-alpha
reg3g	REG3G	Regenerating islet-derived protein 3-gamma
reg4	REG4	Regenerating islet-derived protein 4
relb	RELB	Transcription factor RelB
relt	RELT	Tumor necrosis factor receptor superfamily member 19L
ren	REN	Renin
reps1	REPS1	RalBP1-associated Eps domain-containing protein 1
rest	REST	RE1-silencing transcription factor
ret	RET	Proto-oncogene tyrosine-protein kinase receptor Ret
retn	RETN	Resistin
rexo2	REXO2	"Oligoribonuclease, mitochondrial"
rfc4	RFC4	Replication factor C subunit 4
rgcc	RGCC	Regulator of cell cycle RGCC
rgl2	RGL2	Ral guanine nucleotide dissociation stimulator-like 2
rgma	RGMA	Repulsive guidance molecule A
rgmb	RGMB	RGM domain family member B
rgs10	RGS10	Regulator of G-protein signaling 10
rgs8	RGS8	Regulator of G-protein signaling 8
rhoc	RHOC	Rho-related GTP-binding protein RhoC
rictor	RICTOR	Rapamycin-insensitive companion of mTOR
rida	RIDA	2-iminobutanoate/2-iminopropanoate deaminase
rilp	RILP	Rab-interacting lysosomal protein
rilpl2	RILPL2	RILP-like protein 2
ripk4	RIPK4	Receptor-interacting serine/threonine-protein kinase 4
rln1	RLN1	Prorelaxin H1
rln2	RLN2	Prorelaxin H2
rnase1	RNASE1	Ribonuclease pancreatic
rnase10	RNASE10	Inactive ribonuclease-like protein 10
rnase3	RNASE3	Eosinophil cationic protein
rnase4	RNASE4	Ribonuclease 4
rnase6	RNASE6	Ribonuclease K6
rnaseh2a	RNASEH2A	Ribonuclease H2 subunit A
rnaset2	RNASET2	Ribonuclease T2
rnf149	RNF149	E3 ubiquitin-protein ligase RNF149
rnf168	RNF168	E3 ubiquitin-protein ligase RNF168
rnf31	RNF31	E3 ubiquitin-protein ligase RNF31
rnf4	RNF4	E3 ubiquitin-protein ligase RNF4
rnf41	RNF41	E3 ubiquitin-protein ligase NRDP1
rnf43	RNF43	E3 ubiquitin-protein ligase RNF43
rnf5	RNF5	E3 ubiquitin-protein ligase RNF5
robo1	ROBO1	Roundabout homolog 1
robo2	ROBO2	Roundabout homolog 2
robo4	ROBO4	Roundabout homolog 4
ror1	ROR1	Inactive tyrosine-protein kinase transmembrane receptor ROR1
rp2	RP2	Protein XRP2
rpa2	RPA2	Replication protein A 32 kDa subunit
rpe	RPE	Ribulose-phosphate 3-epimerase
rpgr	RPGR	X-linked retinitis pigmentosa GTPase regulator
rpl14	RPL14	60S ribosomal protein L14
rps10	RPS10	40S ribosomal protein S10
rras	RRAS	Ras-related protein R-Ras
rrm2	RRM2	Ribonucleoside-diphosphate reductase subunit M2
rrm2b	RRM2B	Ribonucleoside-diphosphate reductase subunit M2 B
rrp15	RRP15	RRP15-like protein
rspo1	RSPO1	R-spondin-1
rspo3	RSPO3	R-spondin-3
rtbdn	RTBDN	Retbindin
rtkn2	RTKN2	Rhotekin-2
rtn4ip1	RTN4IP1	"Reticulon-4-interacting protein 1, mitochondrial"
rtn4r	RTN4R	Reticulon-4 receptor
ruvbl1	RUVBL1	RuvB-like 1
rwdd1	RWDD1	RWD domain-containing protein 1
ryr1	RYR1	Ryanodine receptor 1
s100a11	S100A11	Protein S100-A11
s100a12	S100A12	Protein S100-A12
s100a13	S100A13	Protein S100-A13
s100a14	S100A14	Protein S100-A14
s100a16	S100A16	Protein S100-A16
s100a3	S100A3	Protein S100-A3
s100a4	S100A4	Protein S100-A4
s100g	S100G	Protein S100-G
s100p	S100P	Protein S100-P
saa4	SAA4	Serum amyloid A-4 protein
safb2	SAFB2	Scaffold attachment factor B2
sag	SAG	S-arrestin
samd9l	SAMD9L	Sterile alpha motif domain-containing protein 9-like
sap18	SAP18	Histone deacetylase complex subunit SAP18
sarg	SARG	Specifically androgen-regulated gene protein
sart1	SART1	U4/U6.U5 tri-snRNP-associated protein 1
sat1	SAT1	Diamine acetyltransferase 1
sat2	SAT2	Thialysine N-epsilon-acetyltransferase
satb1	SATB1	DNA-binding protein SATB1
sbsn	SBSN	Suprabasin
scamp3	SCAMP3	Secretory carrier-associated membrane protein 3
scara5	SCARA5	Scavenger receptor class A member 5
scarb1	SCARB1	Scavenger receptor class B member 1
scarb2	SCARB2	Lysosome membrane protein 2
scarf1	SCARF1	Scavenger receptor class F member 1
scarf2	SCARF2	Scavenger receptor class F member 2
scg2	SCG2	Secretogranin-2
scg3	SCG3	Secretogranin-3
scgb1a1	SCGB1A1	Uteroglobin
scgb2a2	SCGB2A2	Mammaglobin-A
scgb3a1	SCGB3A1	Secretoglobin family 3A member 1
scgb3a2	SCGB3A2	Secretoglobin family 3A member 2
scgn	SCGN	Secretagogin
scin	SCIN	Adseverin
scly	SCLY	Selenocysteine lyase
scn2a	SCN2A	Sodium channel protein type 2 subunit alpha
scn2b	SCN2B	Sodium channel subunit beta-2
scn3a	SCN3A	Sodium channel protein type 3 subunit alpha
scn3b	SCN3B	Sodium channel subunit beta-3
scn4b	SCN4B	Sodium channel subunit beta-4
scp2	SCP2	Non-specific lipid-transfer protein
scpep1	SCPEP1	Retinoid-inducible serine carboxypeptidase
scrg1	SCRG1	Scrapie-responsive protein 1
scrib	SCRIB	Protein scribble homolog
scrn1	SCRN1	Secernin-1
sct	SCT	Secretin
sdc1	SDC1	Syndecan-1
sdc4	SDC4	Syndecan-4
sdccag8	SDCCAG8	Serologically defined colon cancer antigen 8
sdhb	SDHB	Succinate dehydrogenase
sdk2	SDK2	Protein sidekick-2
sec31a	SEC31A	Protein transport protein Sec31A
sel1l	SEL1L	Protein sel-1 homolog 1
sele	SELE	E-selectin
selenop	SELENOP	Selenoprotein P
sell	SELL	L-selectin
selp	SELP	P-selectin
selplg	SELPLG	P-selectin glycoprotein ligand 1
sema3f	SEMA3F	Semaphorin-3F
sema3g	SEMA3G	Semaphorin-3G
sema4c	SEMA4C	Semaphorin-4C
sema4d	SEMA4D	Semaphorin-4D
sema6c	SEMA6C	Semaphorin-6C
sema7a	SEMA7A	Semaphorin-7A
septin3	SEPTIN3	Neuronal-specific septin-3
septin7	SEPTIN7	Septin-7
septin8	SEPTIN8	Septin-8
septin9	SEPTIN9	Septin-9
serpina1	SERPINA1	Alpha-1-antitrypsin
serpina11	SERPINA11	Serpin A11
serpina12	SERPINA12	Serpin A12
serpina3	SERPINA3	Alpha-1-antichymotrypsin
serpina4	SERPINA4	Kallistatin
serpina5	SERPINA5	Plasma serine protease inhibitor
serpina6	SERPINA6	Corticosteroid-binding globulin
serpina7	SERPINA7	Thyroxine-binding globulin
serpina9	SERPINA9	Serpin A9
serpinb1	SERPINB1	Leukocyte elastase inhibitor
serpinb5	SERPINB5	Serpin B5
serpinb6	SERPINB6	Serpin B6
serpinb8	SERPINB8	Serpin B8
serpinb9	SERPINB9	Serpin B9
serpinc1	SERPINC1	Antithrombin-III
serpind1	SERPIND1	Heparin cofactor 2
serpine1	SERPINE1	Plasminogen activator inhibitor 1
serpine2	SERPINE2	Glia-derived nexin
serpinf1	SERPINF1	Pigment epithelium-derived factor
serpinf2	SERPINF2	Alpha-2-antiplasmin
serping1	SERPING1	Plasma protease C1 inhibitor
serpinh1	SERPINH1	Serpin H1
serpini1	SERPINI1	Neuroserpin
serpini2	SERPINI2	Serpin I2
sestd1	SESTD1	SEC14 domain and spectrin repeat-containing protein 1
setmar	SETMAR	Histone-lysine N-methyltransferase SETMAR
sez6	SEZ6	Seizure protein 6 homolog
sez6l	SEZ6L	Seizure 6-like protein
sez6l2	SEZ6L2	Seizure 6-like protein 2
sf3b4	SF3B4	Splicing factor 3B subunit 4
sfrp1	SFRP1	Secreted frizzled-related protein 1
sfrp4	SFRP4	Secreted frizzled-related protein 4
sftpa1	SFTPA1	Pulmonary surfactant-associated protein A1
sftpa2	SFTPA2	Pulmonary surfactant-associated protein A2
sftpd	SFTPD	Pulmonary surfactant-associated protein D
sgsh	SGSH	N-sulphoglucosamine sulphohydrolase
sh2b3	SH2B3	SH2B adapter protein 3
sh2d1a	SH2D1A	SH2 domain-containing protein 1A
sh3bgrl2	SH3BGRL2	SH3 domain-binding glutamic acid-rich-like protein 2
sh3bp1	SH3BP1	SH3 domain-binding protein 1
sh3gl3	SH3GL3	Endophilin-A3
sh3glb2	SH3GLB2	Endophilin-B2
shbg	SHBG	Sex hormone-binding globulin
shc1	SHC1	SHC-transforming protein 1
shd	SHD	SH2 domain-containing adapter protein D
shh	SHH	Sonic hedgehog protein
shisa5	SHISA5	Protein shisa-5
shmt1	SHMT1	"Serine hydroxymethyltransferase, cytosolic"
shpk	SHPK	Sedoheptulokinase
siae	SIAE	Sialate O-acetylesterase
siglec1	SIGLEC1	Sialoadhesin
siglec10	SIGLEC10	Sialic acid-binding Ig-like lectin 10
siglec15	SIGLEC15	Sialic acid-binding Ig-like lectin 15
siglec5	SIGLEC5	Sialic acid-binding Ig-like lectin 5
siglec6	SIGLEC6	Sialic acid-binding Ig-like lectin 6
siglec7	SIGLEC7	Sialic acid-binding Ig-like lectin 7
siglec8	SIGLEC8	Sialic acid-binding Ig-like lectin 8
siglec9	SIGLEC9	Sialic acid-binding Ig-like lectin 9
sil1	SIL1	Nucleotide exchange factor SIL1
sirpa	SIRPA	Tyrosine-protein phosphatase non-receptor type substrate 1
sirpb1	SIRPB1	Signal-regulatory protein beta-1
sirt1	SIRT1	NAD-dependent protein deacetylase sirtuin-1
sirt2	SIRT2	NAD-dependent protein deacetylase sirtuin-2
sirt5	SIRT5	"NAD-dependent protein deacylase sirtuin-5, mitochondrial"
sit1	SIT1	Signaling threshold-regulating transmembrane adapter 1
skap1	SKAP1	Src kinase-associated phosphoprotein 1
skap2	SKAP2	Src kinase-associated phosphoprotein 2
skiv2l	SKIV2L	Helicase SKI2W
sla2	SLA2	Src-like-adapter 2
slamf1	SLAMF1	Signaling lymphocytic activation molecule
slamf6	SLAMF6	SLAM family member 6
slamf7	SLAMF7	SLAM family member 7
slamf8	SLAMF8	SLAM family member 8
slc12a2	SLC12A2	Solute carrier family 12 member 2
slc13a1	SLC13A1	Solute carrier family 13 member 1
slc16a1	SLC16A1	Monocarboxylate transporter 1
slc1a4	SLC1A4	Neutral amino acid transporter A
slc27a4	SLC27A4	Long-chain fatty acid transport protein 4
slc28a1	SLC28A1	Sodium/nucleoside cotransporter 1
slc34a3	SLC34A3	Sodium-dependent phosphate transport protein 2C
slc39a14	SLC39A14	Zinc transporter ZIP14
slc39a5	SLC39A5	Zinc transporter ZIP5
slc44a4	SLC44A4	Choline transporter-like protein 4
slc4a1	SLC4A1	Band 3 anion transport protein
slc51b	SLC51B	Organic solute transporter subunit beta
slc9a3r1	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1
slc9a3r2	SLC9A3R2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2
slirp	SLIRP	"SRA stem-loop-interacting RNA-binding protein, mitochondrial"
slit2	SLIT2	Slit homolog 2 protein
slitrk1	SLITRK1	SLIT and NTRK-like protein 1
slitrk2	SLITRK2	SLIT and NTRK-like protein 2
slitrk6	SLITRK6	SLIT and NTRK-like protein 6
slk	SLK	STE20-like serine/threonine-protein kinase
slmap	SLMAP	Sarcolemmal membrane-associated protein
slurp1	SLURP1	Secreted Ly-6/uPAR-related protein 1
smad1	SMAD1	Mothers against decapentaplegic homolog 1
smad2	SMAD2	Mothers against decapentaplegic homolog 2
smad3	SMAD3	Mothers against decapentaplegic homolog 3
smad5	SMAD5	Mothers against decapentaplegic homolog 5
smarca2	SMARCA2	Probable global transcription activator SNF2L2
smc3	SMC3	Structural maintenance of chromosomes protein 3
smndc1	SMNDC1	Survival of motor neuron-related-splicing factor 30
smoc1	SMOC1	SPARC-related modular calcium-binding protein 1
smoc2	SMOC2	SPARC-related modular calcium-binding protein 2
smpd1	SMPD1	Sphingomyelin phosphodiesterase
smpd3	SMPD3	Sphingomyelin phosphodiesterase 3
smpdl3a	SMPDL3A	Acid sphingomyelinase-like phosphodiesterase 3a
smpdl3b	SMPDL3B	Acid sphingomyelinase-like phosphodiesterase 3b
sms	SMS	Spermine synthase
smtn	SMTN	Smoothelin
snap23	SNAP23	Synaptosomal-associated protein 23
snap25	SNAP25	Synaptosomal-associated protein 25
snap29	SNAP29	Synaptosomal-associated protein 29
snapin	SNAPIN	SNARE-associated protein Snapin
snca	SNCA	Alpha-synuclein
sncg	SNCG	Gamma-synuclein
sned1	SNED1	"Sushi, nidogen and EGF-like domain-containing protein 1"
snrpb2	SNRPB2	U2 small nuclear ribonucleoprotein B''
snu13	SNU13	NHP2-like protein 1
snx15	SNX15	Sorting nexin-15
snx18	SNX18	Sorting nexin-18
snx2	SNX2	Sorting nexin-2
snx5	SNX5	Sorting nexin-5
snx9	SNX9	Sorting nexin-9
sod1	SOD1	Superoxide dismutase [Cu-Zn]
sod2	SOD2	"Superoxide dismutase [Mn], mitochondrial"
sod3	SOD3	Extracellular superoxide dismutase
sorbs1	SORBS1	Sorbin and SH3 domain-containing protein 1
sorcs2	SORCS2	VPS10 domain-containing receptor SorCS2
sord	SORD	Sorbitol dehydrogenase
sort1	SORT1	Sortilin
sost	SOST	Sclerostin
sowaha	SOWAHA	Ankyrin repeat domain-containing protein SOWAHA
sox2	SOX2	Transcription factor SOX-2
sox9	SOX9	Transcription factor SOX-9
spaca5_spaca5b	SPACA5_SPACA5B	Sperm acrosome-associated protein 5
spag1	SPAG1	Sperm-associated antigen 1
sparc	SPARC	SPARC
sparcl1	SPARCL1	SPARC-like protein 1
spart	SPART	Spartin
spesp1	SPESP1	Sperm equatorial segment protein 1
spink1	SPINK1	Serine protease inhibitor Kazal-type 1
spink2	SPINK2	Serine protease inhibitor Kazal-type 2
spink4	SPINK4	Serine protease inhibitor Kazal-type 4
spink5	SPINK5	Serine protease inhibitor Kazal-type 5
spink6	SPINK6	Serine protease inhibitor Kazal-type 6
spink8	SPINK8	Serine protease inhibitor Kazal-type 8
spint1	SPINT1	Kunitz-type protease inhibitor 1
spint2	SPINT2	Kunitz-type protease inhibitor 2
spint3	SPINT3	Kunitz-type protease inhibitor 3
spock1	SPOCK1	Testican-1
spon1	SPON1	Spondin-1
spon2	SPON2	Spondin-2
spp1	SPP1	Osteopontin
spred2	SPRED2	"Sprouty-related, EVH1 domain-containing protein 2"
spring1	SPRING1	SREBP regulating gene protein
sprr1b	SPRR1B	Cornifin-B
sprr3	SPRR3	Small proline-rich protein 3
spry2	SPRY2	Protein sprouty homolog 2
sptbn2	SPTBN2	"Spectrin beta chain, non-erythrocytic 2"
sptlc1	SPTLC1	Serine palmitoyltransferase 1
src	SRC	Proto-oncogene tyrosine-protein kinase Src
srp14	SRP14	Signal recognition particle 14 kDa protein
srpk2	SRPK2	SRSF protein kinase 2
srpx	SRPX	Sushi repeat-containing protein SRPX
ssb	SSB	Lupus La protein
ssbp1	SSBP1	"Single-stranded DNA-binding protein, mitochondrial"
ssc4d	SSC4D	Scavenger receptor cysteine-rich domain-containing group B protein
ssc5d	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
ssh3	SSH3	Protein phosphatase Slingshot homolog 3
ssna1	SSNA1	Sjoegren syndrome nuclear autoantigen 1
st13	ST13	Hsc70-interacting protein
st3gal1	ST3GAL1	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1"
st6gal1	ST6GAL1	"Beta-galactoside alpha-2,6-sialyltransferase 1"
st8sia1	ST8SIA1	"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase"
stab2	STAB2	Stabilin-2
stam	STAM	Signal transducing adapter molecule 1
stambp	STAMBP	STAM-binding protein
stat2	STAT2	Signal transducer and activator of transcription 2
stat5b	STAT5B	Signal transducer and activator of transcription 5B
stau1	STAU1	Double-stranded RNA-binding protein Staufen homolog 1
stc1	STC1	Stanniocalcin-1
stc2	STC2	Stanniocalcin-2
steap4	STEAP4	Metalloreductase STEAP4
stip1	STIP1	Stress-induced-phosphoprotein 1
stk11	STK11	Serine/threonine-protein kinase STK11
stk24	STK24	Serine/threonine-protein kinase 24
stk4	STK4	Serine/threonine-protein kinase 4
stoml2	STOML2	"Stomatin-like protein 2, mitochondrial"
stx16	STX16	Syntaxin-16
stx1b	STX1B	Syntaxin-1B
stx3	STX3	Syntaxin-3
stx4	STX4	Syntaxin-4
stx5	STX5	Syntaxin-5
stx6	STX6	Syntaxin-6
stx7	STX7	Syntaxin-7
stx8	STX8	Syntaxin-8
stxbp1	STXBP1	Syntaxin-binding protein 1
stxbp3	STXBP3	Syntaxin-binding protein 3
sugp1	SUGP1	SURP and G-patch domain-containing protein 1
sugt1	SUGT1	Protein SGT1 homolog
sult1a1	SULT1A1	Sulfotransferase 1A1
sult2a1	SULT2A1	Bile salt sulfotransferase
sumf1	SUMF1	Formylglycine-generating enzyme
sumf2	SUMF2	Inactive C-alpha-formylglycine-generating enzyme 2
suox	SUOX	"Sulfite oxidase, mitochondrial"
susd1	SUSD1	Sushi domain-containing protein 1
susd2	SUSD2	Sushi domain-containing protein 2
susd4	SUSD4	Sushi domain-containing protein 4
susd5	SUSD5	Sushi domain-containing protein 5
sv2a	SV2A	Synaptic vesicle glycoprotein 2A
swap70	SWAP70	Switch-associated protein 70
syap1	SYAP1	Synapse-associated protein 1
syngap1	SYNGAP1	Ras/Rap GTPase-activating protein SynGAP
syt1	SYT1	Synaptotagmin-1
sytl4	SYTL4	Synaptotagmin-like protein 4
tab2	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
tacc3	TACC3	Transforming acidic coiled-coil-containing protein 3
tacstd2	TACSTD2	Tumor-associated calcium signal transducer 2
tada3	TADA3	Transcriptional adapter 3
tafa5	TAFA5	Chemokine-like protein TAFA-5
tagln3	TAGLN3	Transgelin-3
taldo1	TALDO1	Transaldolase
tank	TANK	TRAF family member-associated NF-kappa-B activator
tap1	TAP1	Antigen peptide transporter 1
tarbp2	TARBP2	RISC-loading complex subunit TARBP2
tarm1	TARM1	"T-cell-interacting, activating receptor on myeloid cells protein 1"
tars1	TARS1	"Threonine--tRNA ligase 1, cytoplasmic"
tax1bp1	TAX1BP1	Tax1-binding protein 1
tbc1d17	TBC1D17	TBC1 domain family member 17
tbc1d23	TBC1D23	TBC1 domain family member 23
tbc1d5	TBC1D5	TBC1 domain family member 5
tbca	TBCA	Tubulin-specific chaperone A
tbcb	TBCB	Tubulin-folding cofactor B
tbcc	TBCC	Tubulin-specific chaperone C
tbl1x	TBL1X	F-box-like/WD repeat-containing protein TBL1X
tbr1	TBR1	T-box brain protein 1
tcl1a	TCL1A	T-cell leukemia/lymphoma protein 1A
tcl1b	TCL1B	T-cell leukemia/lymphoma protein 1B
tcn1	TCN1	Transcobalamin-1
tcn2	TCN2	Transcobalamin-2
tcof1	TCOF1	Treacle protein
tcp11	TCP11	T-complex protein 11 homolog
tctn3	TCTN3	Tectonic-3
tdgf1	TDGF1	Teratocarcinoma-derived growth factor 1
tdo2	TDO2	"Tryptophan 2,3-dioxygenase"
tdp1	TDP1	Tyrosyl-DNA phosphodiesterase 1
tdrkh	TDRKH	Tudor and KH domain-containing protein
tef	TEF	Thyrotroph embryonic factor
tek	TEK	Angiopoietin-1 receptor
terf1	TERF1	Telomeric repeat-binding factor 1
tet2	TET2	Methylcytosine dioxygenase TET2
tex101	TEX101	Testis-expressed protein 101
tex33	TEX33	Testis-expressed protein 33
tf	TF	Serotransferrin
tfap2a	TFAP2A	Transcription factor AP-2-alpha
tff1	TFF1	Trefoil factor 1
tff2	TFF2	Trefoil factor 2
tff3	TFF3	Trefoil factor 3
tfpi	TFPI	Tissue factor pathway inhibitor
tfpi2	TFPI2	Tissue factor pathway inhibitor 2
tfrc	TFRC	Transferrin receptor protein 1
tg	TG	Thyroglobulin
tgfa	TGFA	Protransforming growth factor alpha
tgfb1	TGFB1	Transforming growth factor beta-1 proprotein
tgfb2	TGFB2	Transforming growth factor beta-2 proprotein
tgfbi	TGFBI	Transforming growth factor-beta-induced protein ig-h3
tgfbr1	TGFBR1	TGF-beta receptor type-1
tgfbr2	TGFBR2	TGF-beta receptor type-2
tgfbr3	TGFBR3	Transforming growth factor beta receptor type 3
tgm2	TGM2	Protein-glutamine gamma-glutamyltransferase 2
tgoln2	TGOLN2	Trans-Golgi network integral membrane protein 2
thap12	THAP12	52 kDa repressor of the inhibitor of the protein kinase
thbd	THBD	Thrombomodulin
thbs2	THBS2	Thrombospondin-2
thbs4	THBS4	Thrombospondin-4
thop1	THOP1	Thimet oligopeptidase
thpo	THPO	Thrombopoietin
thrap3	THRAP3	Thyroid hormone receptor-associated protein 3
thsd1	THSD1	Thrombospondin type-1 domain-containing protein 1
thtpa	THTPA	Thiamine-triphosphatase
thy1	THY1	Thy-1 membrane glycoprotein
tia1	TIA1	Nucleolysin TIA-1 isoform p40
tie1	TIE1	Tyrosine-protein kinase receptor Tie-1
tigar	TIGAR	"Fructose-2,6-bisphosphatase TIGAR"
tigit	TIGIT	T-cell immunoreceptor with Ig and ITIM domains
timd4	TIMD4	T-cell immunoglobulin and mucin domain-containing protein 4
timm10	TIMM10	Mitochondrial import inner membrane translocase subunit Tim10
timm8a	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A
timp1	TIMP1	Metalloproteinase inhibitor 1
timp2	TIMP2	Metalloproteinase inhibitor 2
timp3	TIMP3	Metalloproteinase inhibitor 3
